day,price
2023-05-10,0.091074
2023-05-11,0.052601
2023-05-12,0.065527
2023-05-14,0.069586
2023-05-15,0.054277
2023-05-16,0.04850697
2023-05-18,0.03949349
2023-05-19,0.03648733
2023-05-20,0.04425739
2023-05-22,0.04156654
2023-05-23,0.03435785
2023-05-25,0.02925158
2023-05-26,0.03961238
2023-05-27,0.052438
2023-05-28,0.069703
2023-05-29,0.04971578
2023-05-30,0.04061006
2023-05-31,0.03856098
2023-06-02,0.05037
2023-06-03,0.04413478
2023-06-04,0.04226753
2023-06-05,0.03327981
2023-06-06,0.03912486
2023-06-07,0.03456559
2023-06-09,0.0340498
2023-06-10,0.02931518
2023-06-11,0.02896847
2023-06-13,0.02851977
2023-06-14,0.02550172
2023-06-15,0.0306539
2023-06-17,0.03637943
2023-06-18,0.03795226
2023-06-19,0.0344922
2023-06-21,0.03853483
2023-06-22,0.0372988
2023-06-23,0.03358619
2023-06-25,0.03910744
2023-06-26,0.03804677
2023-06-27,0.03656929
2023-06-28,0.0351516
2023-06-30,0.03200117
2023-07-01,0.0329972
2023-07-02,0.03244441
2023-07-03,0.03187112
2023-07-04,0.02971848
2023-07-06,0.03630086
2023-07-07,0.03570273
2023-07-09,0.03510626
2023-07-10,0.03364653
2023-07-11,0.03675476
2023-07-12,0.03647126
2023-07-13,0.03903299
2023-07-14,0.04263176
2023-07-15,0.04151452
2023-07-17,0.03672351
2023-07-18,0.04038497
2023-07-20,0.03820131
2023-07-21,0.03944388
2023-07-23,0.03438497
2023-07-25,0.03250231
2023-07-27,0.03460057
2023-07-28,0.03126896
2023-07-29,0.02965192
2023-07-30,0.02662782
2023-08-01,0.02562442
2023-08-02,0.02160465
2023-08-04,0.02170548
2023-08-05,0.01786104
2023-08-06,0.01927571
2023-08-07,0.01957831
2023-08-08,0.01658369
2023-08-09,0.01379178
2023-08-11,0.01685172
2023-08-12,0.01563308
2023-08-13,0.01576925
2023-08-14,0.01462087
2023-08-15,0.01362031
2023-08-16,0.01466306
2023-08-19,0.01306798
2023-08-21,0.0114518
2023-08-23,0.01155032
2023-08-24,0.0117002
2023-08-25,0.01335994
2023-08-26,0.01667417
2023-08-27,0.01936927
2023-08-29,0.02609446
2023-08-31,0.02480454
2023-09-01,0.02200128
2023-09-02,0.02070734
2023-09-03,0.02144624
2023-09-04,0.02050409
2023-09-05,0.01792044
2023-09-06,0.016804
2023-09-07,0.02084142
2023-09-09,0.01681424
2023-09-11,0.01672016
2023-09-13,0.01617898
2023-09-14,0.01678031
2023-09-15,0.01697656
2023-09-16,0.01515417
2023-09-17,0.01453924
2023-09-18,0.0148685
2023-09-19,0.0144688
2023-09-20,0.01524512
2023-09-21,0.01630875
2023-09-22,0.01533341
2023-09-24,0.01473074
2023-09-25,0.01439531
2023-09-26,0.01411243
2023-09-27,0.01483737
2023-09-28,0.01407982
2023-09-30,0.01339886
2023-10-01,0.01270855
2023-10-02,0.01216606
2023-10-03,0.01385141
2023-10-04,0.01254102
2023-10-05,0.01141389
2023-10-06,0.01278529
2023-10-07,0.01214625
2023-10-08,0.01205994
2023-10-09,0.01158096
2023-10-10,0.01129471
2023-10-11,0.01123169
2023-10-12,0.01109097
2023-10-13,0.01102541
2023-10-15,0.01289424
2023-10-16,0.01323343
2023-10-17,0.01275312
2023-10-19,0.01517473
2023-10-20,0.01936095
2023-10-21,0.02136923
2023-10-23,0.01987057
2023-10-24,0.02485822
2023-10-25,0.02580493
2023-10-26,0.02712175
2023-10-27,0.02743784
2023-10-28,0.0259725
2023-10-29,0.02564038
2023-10-30,0.02056081
2023-10-31,0.0199174
2023-11-01,0.01872668
2023-11-02,0.01492429
2023-11-03,0.02131347
2023-11-04,0.03225934
2023-11-05,0.03515671
2023-11-06,0.02214535
2023-11-08,0.01689921
2023-11-09,0.02146647
2023-11-10,0.01923655
2023-11-11,0.01796623
2023-11-13,0.01674017
2023-11-14,0.01532389
2023-11-15,0.01730006
2023-11-17,0.02070039
2023-11-18,0.02191856
2023-11-19,0.02854242
2023-11-20,0.02783277
2023-11-21,0.02285946
2023-11-22,0.02861065
